factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.38461538461538464,10,0,16,10,26
15,0.5,0.4166666666666667,10,0,14,10,24
16,0.5,0.4166666666666667,10,0,14,10,24
2,0.42857142857142855,0.43478260869565216,10,0,13,10,23
11,0.42857142857142855,0.45454545454545453,10,0,12,10,22
18,0.42857142857142855,0.47619047619047616,10,0,11,10,21
19,0.42857142857142855,0.5,10,0,10,10,20
21,0.42857142857142855,0.5263157894736842,10,0,9,10,19
13,0.23076923076923078,0.47368421052631576,9,1,9,10,18
9,0.12,0.5,9,1,8,10,17
7,0.05263157894736842,0.5294117647058824,9,1,7,10,16
6,0.03389830508474576,0.5294117647058824,9,1,7,10,16
1,0.0,0.47058823529411764,8,2,7,10,15
3,0.0,0.3125,5,5,6,10,11
4,0.0,0.3125,5,5,6,10,11
5,0.0,0.3125,5,5,6,10,11
8,0.0,0.3125,5,5,6,10,11
10,0.0,0.3125,5,5,6,10,11
12,0.0,0.26666666666666666,4,6,5,10,9
14,0.0,0.26666666666666666,4,6,5,10,9
17,0.0,0.2857142857142857,4,6,4,10,8
20,0.0,0.21428571428571427,3,7,4,10,7
