factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.38461538461538464,10,0,16,10,26
1,0.0,0.34615384615384615,9,1,16,10,25
2,0.0,0.36,9,1,15,10,24
3,0.0,0.2727272727272727,6,4,12,10,18
4,0.0,0.2727272727272727,6,4,12,10,18
5,0.0,0.2727272727272727,6,4,12,10,18
6,0.0,0.2727272727272727,6,4,12,10,18
7,0.0,0.2727272727272727,6,4,12,10,18
8,0.0,0.2727272727272727,6,4,12,10,18
9,0.0,0.2727272727272727,6,4,12,10,18
10,0.0,0.2727272727272727,6,4,12,10,18
11,0.0,0.2857142857142857,6,4,11,10,17
12,0.0,0.2631578947368421,5,5,9,10,14
13,0.0,0.2631578947368421,5,5,9,10,14
14,0.0,0.2631578947368421,5,5,9,10,14
15,0.0,0.2222222222222222,4,6,8,10,12
16,0.0,0.2222222222222222,4,6,8,10,12
17,0.0,0.23529411764705882,4,6,7,10,11
18,0.0,0.25,4,6,6,10,10
19,0.0,0.26666666666666666,4,6,5,10,9
20,0.0,0.2,3,7,5,10,8
21,0.0,0.21428571428571427,3,7,4,10,7
