factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.8461538461538461,22,0,4,22,26
11,1.0,0.88,22,0,3,22,25
21,1.0,0.9166666666666666,22,0,2,22,24
13,0.5,0.875,21,1,2,22,23
1,0.0,0.8333333333333334,20,2,2,22,22
2,0.0,0.7916666666666666,19,3,2,22,21
3,0.0,0.5416666666666666,13,9,2,22,15
4,0.0,0.5416666666666666,13,9,2,22,15
5,0.0,0.5416666666666666,13,9,2,22,15
6,0.0,0.5416666666666666,13,9,2,22,15
7,0.0,0.5416666666666666,13,9,2,22,15
8,0.0,0.5416666666666666,13,9,2,22,15
9,0.0,0.5416666666666666,13,9,2,22,15
10,0.0,0.5416666666666666,13,9,2,22,15
12,0.0,0.4583333333333333,11,11,2,22,13
14,0.0,0.4583333333333333,11,11,2,22,13
15,0.0,0.375,9,13,2,22,11
16,0.0,0.375,9,13,2,22,11
17,0.0,0.391304347826087,9,13,1,22,10
18,0.0,0.34782608695652173,8,14,1,22,9
19,0.0,0.30434782608695654,7,15,1,22,8
20,0.0,0.2608695652173913,6,16,1,22,7
