factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.44,11,0,14,11,25
1,0.6666666666666666,0.4583333333333333,11,0,13,11,24
3,0.6666666666666666,0.4782608695652174,11,0,12,11,23
4,0.6666666666666666,0.5,11,0,11,11,22
5,0.6666666666666666,0.5789473684210527,11,0,8,11,19
7,0.6666666666666666,0.6111111111111112,11,0,7,11,18
8,0.6666666666666666,0.6470588235294118,11,0,6,11,17
2,0.0,0.5882352941176471,10,1,6,11,16
6,0.0,0.4117647058823529,7,4,6,11,13
9,0.0,0.35294117647058826,6,5,6,11,12
