factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.44,11,0,14,11,25
1,0.20833333333333334,0.4583333333333333,11,0,13,11,24
9,0.17857142857142858,0.4782608695652174,11,0,12,11,23
3,0.1724137931034483,0.5,11,0,11,11,22
4,0.14814814814814814,0.5238095238095238,11,0,10,11,21
2,0.0,0.47619047619047616,10,1,10,11,20
5,0.0,0.5555555555555556,10,1,7,11,17
6,0.0,0.3888888888888889,7,4,7,11,14
7,0.0,0.4117647058823529,7,4,6,11,13
8,0.0,0.35294117647058826,6,5,6,11,12
