factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.25,5,0,15,5,20
2,0.8095238095238095,0.2631578947368421,5,0,14,5,19
3,0.8095238095238095,0.2777777777777778,5,0,13,5,18
18,0.8095238095238095,0.29411764705882354,5,0,12,5,17
20,0.7948717948717948,0.3125,5,0,11,5,16
21,0.7948717948717948,0.3333333333333333,5,0,10,5,15
19,0.7894736842105263,0.38461538461538464,5,0,8,5,13
9,0.7014925373134329,0.4166666666666667,5,0,7,5,12
14,0.6941176470588235,0.45454545454545453,5,0,6,5,11
15,0.6941176470588235,0.5,5,0,5,5,10
13,0.6571428571428571,0.5,5,0,5,5,10
17,0.6451612903225806,0.5555555555555556,5,0,4,5,9
8,0.64,0.5555555555555556,5,0,4,5,9
12,0.6071428571428571,0.625,5,0,3,5,8
16,0.5555555555555556,0.625,5,0,3,5,8
11,0.5238095238095238,0.625,5,0,3,5,8
7,0.48484848484848486,0.7142857142857143,5,0,2,5,7
10,0.35714285714285715,0.8333333333333334,5,0,1,5,6
1,0.09523809523809523,0.6666666666666666,4,1,1,5,5
4,0.0,0.16666666666666666,1,4,1,5,2
5,0.0,0.16666666666666666,1,4,1,5,2
6,0.0,0.16666666666666666,1,4,1,5,2
