factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.05,1,0,19,1,20
8,0.7692307692307693,0.05263157894736842,1,0,18,1,19
6,0.75,0.05555555555555555,1,0,17,1,18
7,0.75,0.058823529411764705,1,0,16,1,17
19,0.75,0.07692307692307693,1,0,12,1,13
9,0.7407407407407407,0.07692307692307693,1,0,12,1,13
11,0.7307692307692307,0.1,1,0,9,1,10
16,0.7307692307692307,0.1111111111111111,1,0,8,1,9
14,0.7142857142857143,0.1111111111111111,1,0,8,1,9
15,0.7142857142857143,0.1111111111111111,1,0,8,1,9
10,0.7083333333333334,0.125,1,0,7,1,8
12,0.7037037037037037,0.125,1,0,7,1,8
13,0.7037037037037037,0.125,1,0,7,1,8
17,0.7037037037037037,0.125,1,0,7,1,8
5,0.7,0.14285714285714285,1,0,6,1,7
20,0.7,0.14285714285714285,1,0,6,1,7
21,0.7,0.14285714285714285,1,0,6,1,7
2,0.6428571428571429,0.16666666666666666,1,0,5,1,6
3,0.6428571428571429,0.2,1,0,4,1,5
18,0.6428571428571429,0.25,1,0,3,1,4
4,0.5,0.3333333333333333,1,0,2,1,3
1,0.42857142857142855,0.5,1,0,1,1,2
