factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.35,7,0,13,7,20
1,1.0,0.3684210526315789,7,0,12,7,19
2,1.0,0.3157894736842105,6,1,12,7,18
3,1.0,0.2631578947368421,5,2,12,7,17
18,1.0,0.2777777777777778,5,2,11,7,16
19,1.0,0.35714285714285715,5,2,7,7,12
20,1.0,0.35714285714285715,5,2,7,7,12
21,1.0,0.35714285714285715,5,2,7,7,12
14,0.7142857142857143,0.38461538461538464,5,2,6,7,11
15,0.7142857142857143,0.4166666666666667,5,2,5,7,10
13,0.6666666666666666,0.4166666666666667,5,2,5,7,10
12,0.6,0.45454545454545453,5,2,4,7,9
17,0.6,0.5,5,2,3,7,8
11,0.5,0.5,5,2,3,7,8
16,0.5,0.5,5,2,3,7,8
10,0.3333333333333333,0.5555555555555556,5,2,2,7,7
4,0.0,0.125,1,6,1,7,2
5,0.0,0.125,1,6,1,7,2
6,0.0,0.125,1,6,1,7,2
7,0.0,0.125,1,6,1,7,2
8,0.0,0.125,1,6,1,7,2
9,0.0,0.125,1,6,1,7,2
