factor_idx(1-),threshold(<=),similarity,common,unique_orbs,unique_dm,orbs_size,dm_size
0,1.1,0.05,1,0,19,1,20
2,1.0,0.05263157894736842,1,0,18,1,19
4,1.0,0.1111111111111111,1,0,8,1,9
5,1.0,0.1111111111111111,1,0,8,1,9
7,1.0,0.1111111111111111,1,0,8,1,9
8,1.0,0.1111111111111111,1,0,8,1,9
9,1.0,0.1111111111111111,1,0,8,1,9
18,1.0,0.125,1,0,7,1,8
19,1.0,0.25,1,0,3,1,4
21,1.0,0.25,1,0,3,1,4
10,0.9565217391304348,0.25,1,0,3,1,4
6,0.9523809523809523,0.25,1,0,3,1,4
20,0.9523809523809523,0.25,1,0,3,1,4
17,0.9473684210526315,0.25,1,0,3,1,4
12,0.9459459459459459,0.25,1,0,3,1,4
15,0.9444444444444444,0.25,1,0,3,1,4
14,0.9423076923076923,0.25,1,0,3,1,4
13,0.9361702127659575,0.25,1,0,3,1,4
11,0.9333333333333333,0.25,1,0,3,1,4
16,0.9333333333333333,0.25,1,0,3,1,4
3,0.9285714285714286,0.3333333333333333,1,0,2,1,3
1,0.3,0.5,1,0,1,1,2
