2019-01-23 05:34:07,567 [I] Initial factor queue size: 208	(at doe_manager.py:29) 
2019-01-23 05:34:07,567 [I] Start iteration.	(at main.py:48) 
2019-01-23 05:34:07,567 [I] Iter idx: 0, Qsize: 207	(at main.py:51) 
2019-01-23 05:34:07,567 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:07,741 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:56) 
2019-01-23 05:34:07,741 [I] Iter idx: 1, Qsize: 206	(at main.py:51) 
2019-01-23 05:34:07,742 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:08,070 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:08,070 [I] Iter idx: 2, Qsize: 205	(at main.py:51) 
2019-01-23 05:34:08,070 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:08,470 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:08,470 [I] Iter idx: 3, Qsize: 204	(at main.py:51) 
2019-01-23 05:34:08,470 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:08,709 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:56) 
2019-01-23 05:34:08,709 [I] Iter idx: 4, Qsize: 203	(at main.py:51) 
2019-01-23 05:34:08,709 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:08,834 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
2019-01-23 05:34:08,834 [I] Iter idx: 5, Qsize: 202	(at main.py:51) 
2019-01-23 05:34:08,834 [I] Curr factor: [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:09,177 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:09,178 [I] Iter idx: 6, Qsize: 201	(at main.py:51) 
2019-01-23 05:34:09,178 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:09,291 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
2019-01-23 05:34:09,291 [I] Iter idx: 7, Qsize: 200	(at main.py:51) 
2019-01-23 05:34:09,292 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:09,643 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:09,644 [I] Iter idx: 8, Qsize: 199	(at main.py:51) 
2019-01-23 05:34:09,644 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:09,983 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:09,984 [I] Iter idx: 9, Qsize: 198	(at main.py:51) 
2019-01-23 05:34:09,984 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:53) 
2019-01-23 05:34:10,364 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:10,365 [I] Iter idx: 10, Qsize: 197	(at main.py:51) 
2019-01-23 05:34:10,365 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:10,725 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:10,726 [I] Iter idx: 11, Qsize: 196	(at main.py:51) 
2019-01-23 05:34:10,726 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:10,829 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
2019-01-23 05:34:10,830 [I] Iter idx: 12, Qsize: 195	(at main.py:51) 
2019-01-23 05:34:10,830 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:10,930 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:10,930 [I] Iter idx: 13, Qsize: 194	(at main.py:51) 
2019-01-23 05:34:10,930 [I] Curr factor: [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
