2019-01-23 05:35:00,304 [I] Initial factor queue size: 16	(at doe_manager.py:29) 
2019-01-23 05:35:00,305 [I] Start iteration.	(at main.py:48) 
2019-01-23 05:35:00,305 [I] Iter idx: 0, Qsize: 15	(at main.py:51) 
2019-01-23 05:35:00,305 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:00,478 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:56) 
2019-01-23 05:35:00,479 [I] Iter idx: 1, Qsize: 14	(at main.py:51) 
2019-01-23 05:35:00,479 [I] Curr factor: [1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1]	(at main.py:53) 
2019-01-23 05:35:00,864 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:00,865 [I] Iter idx: 2, Qsize: 13	(at main.py:51) 
2019-01-23 05:35:00,865 [I] Curr factor: [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:01,011 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:01,011 [I] Iter idx: 3, Qsize: 12	(at main.py:51) 
2019-01-23 05:35:01,011 [I] Curr factor: [1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1]	(at main.py:53) 
2019-01-23 05:35:01,131 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:01,132 [I] Iter idx: 4, Qsize: 11	(at main.py:51) 
2019-01-23 05:35:01,132 [I] Curr factor: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0]	(at main.py:53) 
2019-01-23 05:35:01,263 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:01,263 [I] Iter idx: 5, Qsize: 10	(at main.py:51) 
2019-01-23 05:35:01,263 [I] Curr factor: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]	(at main.py:53) 
2019-01-23 05:35:01,384 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:01,384 [I] Iter idx: 6, Qsize: 9	(at main.py:51) 
2019-01-23 05:35:01,384 [I] Curr factor: [0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]	(at main.py:53) 
2019-01-23 05:35:01,790 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:01,790 [I] Iter idx: 7, Qsize: 8	(at main.py:51) 
2019-01-23 05:35:01,790 [I] Curr factor: [1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0]	(at main.py:53) 
2019-01-23 05:35:02,094 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:02,094 [I] Iter idx: 8, Qsize: 7	(at main.py:51) 
2019-01-23 05:35:02,095 [I] Curr factor: [1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1]	(at main.py:53) 
2019-01-23 05:35:02,441 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:02,441 [I] Iter idx: 9, Qsize: 6	(at main.py:51) 
2019-01-23 05:35:02,441 [I] Curr factor: [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]	(at main.py:53) 
2019-01-23 05:35:02,747 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:02,748 [I] Iter idx: 10, Qsize: 5	(at main.py:51) 
2019-01-23 05:35:02,748 [I] Curr factor: [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1]	(at main.py:53) 
2019-01-23 05:35:02,854 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:02,855 [I] Iter idx: 11, Qsize: 4	(at main.py:51) 
2019-01-23 05:35:02,855 [I] Curr factor: [1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:03,209 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:03,209 [I] Iter idx: 12, Qsize: 3	(at main.py:51) 
2019-01-23 05:35:03,210 [I] Curr factor: [1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]	(at main.py:53) 
2019-01-23 05:35:03,514 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:03,514 [I] Iter idx: 13, Qsize: 2	(at main.py:51) 
