2019-01-23 05:34:02,519 [I] Initial factor queue size: 22	(at doe_manager.py:29) 
2019-01-23 05:34:02,519 [I] Start iteration.	(at main.py:48) 
2019-01-23 05:34:02,519 [I] Iter idx: 0, Qsize: 21	(at main.py:51) 
2019-01-23 05:34:02,520 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:02,622 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:56) 
2019-01-23 05:34:02,622 [I] Iter idx: 1, Qsize: 20	(at main.py:51) 
2019-01-23 05:34:02,622 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:34:02,722 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
2019-01-23 05:34:02,722 [I] Iter idx: 2, Qsize: 19	(at main.py:51) 
2019-01-23 05:34:02,722 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]	(at main.py:53) 
2019-01-23 05:34:02,824 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
2019-01-23 05:34:02,824 [I] Iter idx: 3, Qsize: 18	(at main.py:51) 
2019-01-23 05:34:02,824 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:53) 
2019-01-23 05:34:03,194 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:34:03,194 [I] Iter idx: 4, Qsize: 17	(at main.py:51) 
