2019-01-23 05:35:04,079 [I] Set default doe_random_threshold: 1 / (21:factor_size) = 0.047619047619047616	(at doe.py:18) 
2019-01-23 05:35:04,101 [I] Initial factor queue size: 100	(at doe_manager.py:29) 
2019-01-23 05:35:04,101 [I] Start iteration.	(at main.py:48) 
2019-01-23 05:35:04,101 [I] Iter idx: 0, Qsize: 99	(at main.py:51) 
2019-01-23 05:35:04,101 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:04,224 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:56) 
2019-01-23 05:35:04,224 [I] Iter idx: 1, Qsize: 98	(at main.py:51) 
2019-01-23 05:35:04,224 [I] Curr factor: [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:04,330 [I] Response: [True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:04,330 [I] Iter idx: 2, Qsize: 97	(at main.py:51) 
2019-01-23 05:35:04,330 [I] Curr factor: [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:04,685 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:04,685 [I] Iter idx: 3, Qsize: 96	(at main.py:51) 
2019-01-23 05:35:04,685 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]	(at main.py:53) 
2019-01-23 05:35:05,094 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:05,094 [I] Iter idx: 4, Qsize: 95	(at main.py:51) 
2019-01-23 05:35:05,094 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:05,249 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
2019-01-23 05:35:05,249 [I] Iter idx: 5, Qsize: 94	(at main.py:51) 
2019-01-23 05:35:05,249 [I] Curr factor: [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:05,591 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:05,591 [I] Iter idx: 6, Qsize: 93	(at main.py:51) 
2019-01-23 05:35:05,591 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:05,701 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
2019-01-23 05:35:05,701 [I] Iter idx: 7, Qsize: 92	(at main.py:51) 
2019-01-23 05:35:05,701 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:06,044 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:06,044 [I] Iter idx: 8, Qsize: 91	(at main.py:51) 
2019-01-23 05:35:06,044 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:53) 
2019-01-23 05:35:06,380 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:06,381 [I] Iter idx: 9, Qsize: 90	(at main.py:51) 
2019-01-23 05:35:06,381 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:06,727 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:06,727 [I] Iter idx: 10, Qsize: 89	(at main.py:51) 
2019-01-23 05:35:06,727 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:07,067 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:07,067 [I] Iter idx: 11, Qsize: 88	(at main.py:51) 
2019-01-23 05:35:07,067 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:07,172 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
2019-01-23 05:35:07,173 [I] Iter idx: 12, Qsize: 87	(at main.py:51) 
2019-01-23 05:35:07,173 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:07,506 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:07,507 [I] Iter idx: 13, Qsize: 86	(at main.py:51) 
2019-01-23 05:35:07,507 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:07,862 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
