2019-03-02 02:25:50,103 [I] Initial factor queue size: 46	(at doe_manager.py:29) 
2019-03-02 02:25:50,103 [I] Start iteration.	(at main.py:56) 
2019-03-02 02:25:50,103 [I] Iter idx: 0, Qsize: 45	(at main.py:59) 
2019-03-02 02:25:50,103 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:50,204 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 02:25:50,204 [I] Iter idx: 1, Qsize: 44	(at main.py:59) 
2019-03-02 02:25:50,205 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:25:50,308 [I] Response: [True, True, True, True, True, True, False, True, False, True, True, True, True, False, True]	(at main.py:64) 
2019-03-02 02:25:50,308 [I] Iter idx: 2, Qsize: 43	(at main.py:59) 
2019-03-02 02:25:50,309 [I] Curr factor: [0, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:50,407 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:25:50,407 [I] Iter idx: 3, Qsize: 42	(at main.py:59) 
2019-03-02 02:25:50,408 [I] Curr factor: [0, 0, 0, 0, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:51,251 [I] Response: [True, False, True, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:25:51,251 [I] Iter idx: 4, Qsize: 41	(at main.py:59) 
2019-03-02 02:25:51,251 [I] Curr factor: [0, 0, 0, 1, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:51,348 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 02:25:51,348 [I] Iter idx: 5, Qsize: 40	(at main.py:59) 
2019-03-02 02:25:51,348 [I] Curr factor: [0, 0, 0, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:51,448 [I] Response: [True, True, True, True, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:25:51,448 [I] Iter idx: 6, Qsize: 39	(at main.py:59) 
2019-03-02 02:25:51,448 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:25:52,018 [I] Response: [True, False, True, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:25:52,018 [I] Iter idx: 7, Qsize: 38	(at main.py:59) 
2019-03-02 02:25:52,018 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:25:52,115 [I] Response: [True, True, True, True, True, True, True, False, True, True, True, False, True, True, True]	(at main.py:64) 
2019-03-02 02:25:52,115 [I] Iter idx: 8, Qsize: 37	(at main.py:59) 
2019-03-02 02:25:52,115 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:52,491 [I] Response: [True, True, False, True, True, False, False, True, True, False, False, True, False, False, False]	(at main.py:64) 
2019-03-02 02:25:52,491 [I] Iter idx: 9, Qsize: 36	(at main.py:59) 
2019-03-02 02:25:52,491 [I] Curr factor: [0, 0, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:52,591 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 02:25:52,591 [I] Iter idx: 10, Qsize: 35	(at main.py:59) 
2019-03-02 02:25:52,591 [I] Curr factor: [0, 0, 1, 0, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:53,615 [I] Response: [True, False, True, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:25:53,616 [I] Iter idx: 11, Qsize: 34	(at main.py:59) 
2019-03-02 02:25:53,616 [I] Curr factor: [0, 0, 0, 0, 0, 1, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:25:53,712 [I] Response: [True, True, True, True, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:25:53,713 [I] Iter idx: 12, Qsize: 33	(at main.py:59) 
2019-03-02 02:25:53,713 [I] Curr factor: [0, 0, 1, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:53,809 [I] Response: [True, True, True, True, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:25:53,810 [I] Iter idx: 13, Qsize: 32	(at main.py:59) 
2019-03-02 02:25:53,810 [I] Curr factor: [1, 0, 0, 0, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:54,639 [I] Response: [True, False, False, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:25:54,639 [I] Iter idx: 14, Qsize: 31	(at main.py:59) 
2019-03-02 02:25:54,639 [I] Curr factor: [0, 1, 0, 0, 0, 0, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:25:55,197 [I] Response: [True, False, True, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:25:55,197 [I] Iter idx: 15, Qsize: 30	(at main.py:59) 
2019-03-02 02:25:55,197 [I] Curr factor: [0, 1, 0, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:25:55,305 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:25:55,305 [I] Iter idx: 16, Qsize: 29	(at main.py:59) 
2019-03-02 02:25:55,305 [I] Curr factor: [1, 0, 0, 0, 0, 0, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:25:56,119 [I] Response: [True, False, False, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:25:56,120 [I] Iter idx: 17, Qsize: 28	(at main.py:59) 
2019-03-02 02:25:56,120 [I] Curr factor: [0, 1, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:56,217 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:25:56,218 [I] Iter idx: 18, Qsize: 27	(at main.py:59) 
2019-03-02 02:25:56,218 [I] Curr factor: [0, 0, 1, 0, 0, 0, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:25:56,790 [I] Response: [True, False, True, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:25:56,790 [I] Iter idx: 19, Qsize: 26	(at main.py:59) 
2019-03-02 02:25:56,790 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:25:57,162 [I] Response: [True, True, False, True, True, False, False, False, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:25:57,162 [I] Iter idx: 20, Qsize: 25	(at main.py:59) 
2019-03-02 02:25:57,162 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 0, 1]	(at main.py:61) 
2019-03-02 02:25:57,732 [I] Response: [True, False, True, True, True, False, False, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:25:57,732 [I] Iter idx: 21, Qsize: 24	(at main.py:59) 
2019-03-02 02:25:57,732 [I] Curr factor: [0, 0, 0, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:58,546 [I] Response: [True, False, True, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:25:58,547 [I] Iter idx: 22, Qsize: 23	(at main.py:59) 
2019-03-02 02:25:58,547 [I] Curr factor: [1, 0, 0, 1, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:59,031 [I] Response: [True, True, False, True, True, False, False, True, True, False, False, True, False, False, False]	(at main.py:64) 
2019-03-02 02:25:59,031 [I] Iter idx: 23, Qsize: 22	(at main.py:59) 
2019-03-02 02:25:59,031 [I] Curr factor: [1, 0, 0, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:59,545 [I] Response: [True, True, False, True, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:25:59,545 [I] Iter idx: 24, Qsize: 21	(at main.py:59) 
2019-03-02 02:25:59,545 [I] Curr factor: [0, 0, 1, 1, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:59,792 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 02:25:59,792 [I] Iter idx: 25, Qsize: 20	(at main.py:59) 
