2019-03-02 02:26:08,240 [I] Initial factor queue size: 17	(at doe_manager.py:29) 
2019-03-02 02:26:08,240 [I] Start iteration.	(at main.py:56) 
2019-03-02 02:26:08,240 [I] Iter idx: 0, Qsize: 16	(at main.py:59) 
2019-03-02 02:26:08,240 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:08,343 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 02:26:08,344 [I] Iter idx: 1, Qsize: 15	(at main.py:59) 
2019-03-02 02:26:08,344 [I] Curr factor: [1, 0, 0, 0, 0, 1, 1, 0, 1]	(at main.py:61) 
2019-03-02 02:26:09,155 [I] Response: [True, False, False, True, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:09,156 [I] Iter idx: 2, Qsize: 14	(at main.py:59) 
2019-03-02 02:26:09,156 [I] Curr factor: [1, 0, 1, 1, 1, 0, 1, 0, 1]	(at main.py:61) 
2019-03-02 02:26:09,953 [I] Response: [True, False, False, True, True, False, False, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:09,953 [I] Iter idx: 3, Qsize: 13	(at main.py:59) 
2019-03-02 02:26:09,954 [I] Curr factor: [1, 1, 1, 0, 1, 1, 1, 1, 0]	(at main.py:61) 
2019-03-02 02:26:10,747 [I] Response: [True, False, False, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:10,748 [I] Iter idx: 4, Qsize: 12	(at main.py:59) 
2019-03-02 02:26:10,748 [I] Curr factor: [0, 0, 1, 0, 1, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:11,598 [I] Response: [True, False, True, True, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:11,599 [I] Iter idx: 5, Qsize: 11	(at main.py:59) 
2019-03-02 02:26:11,599 [I] Curr factor: [0, 0, 1, 0, 0, 0, 1, 1, 1]	(at main.py:61) 
2019-03-02 02:26:12,152 [I] Response: [True, False, True, True, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:12,152 [I] Iter idx: 6, Qsize: 10	(at main.py:59) 
2019-03-02 02:26:12,152 [I] Curr factor: [1, 1, 1, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:26:12,537 [I] Response: [True, True, False, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:12,537 [I] Iter idx: 7, Qsize: 9	(at main.py:59) 
2019-03-02 02:26:12,537 [I] Curr factor: [1, 0, 0, 0, 1, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:26:13,350 [I] Response: [True, False, False, True, True, False, False, False, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:13,351 [I] Iter idx: 8, Qsize: 8	(at main.py:59) 
2019-03-02 02:26:13,351 [I] Curr factor: [1, 1, 0, 1, 1, 1, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:26:14,579 [I] Response: [True, False, False, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:14,579 [I] Iter idx: 9, Qsize: 7	(at main.py:59) 
2019-03-02 02:26:14,579 [I] Curr factor: [0, 1, 1, 1, 1, 0, 0, 1, 1]	(at main.py:61) 
2019-03-02 02:26:15,541 [I] Response: [True, False, True, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:15,541 [I] Iter idx: 10, Qsize: 6	(at main.py:59) 
2019-03-02 02:26:15,541 [I] Curr factor: [0, 1, 0, 0, 1, 0, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:26:16,562 [I] Response: [True, False, True, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:16,563 [I] Iter idx: 11, Qsize: 5	(at main.py:59) 
2019-03-02 02:26:16,563 [I] Curr factor: [1, 1, 0, 1, 0, 0, 1, 1, 0]	(at main.py:61) 
2019-03-02 02:26:17,912 [I] Response: [True, False, False, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:17,913 [I] Iter idx: 12, Qsize: 4	(at main.py:59) 
2019-03-02 02:26:17,913 [I] Curr factor: [0, 0, 0, 1, 1, 1, 1, 1, 1]	(at main.py:61) 
2019-03-02 02:26:19,091 [I] Response: [True, False, True, True, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:19,092 [I] Iter idx: 13, Qsize: 3	(at main.py:59) 
2019-03-02 02:26:19,092 [I] Curr factor: [0, 0, 0, 1, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:19,242 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 02:26:19,243 [I] Iter idx: 14, Qsize: 2	(at main.py:59) 
2019-03-02 02:26:19,243 [I] Curr factor: [0, 1, 0, 0, 0, 1, 0, 1, 1]	(at main.py:61) 
2019-03-02 02:26:19,603 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:19,604 [I] Iter idx: 15, Qsize: 1	(at main.py:59) 
2019-03-02 02:26:19,604 [I] Curr factor: [0, 1, 1, 1, 0, 1, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:26:20,677 [I] Response: [True, False, True, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:20,677 [I] Iter idx: 16, Qsize: 0	(at main.py:59) 
2019-03-02 02:26:20,677 [I] Curr factor: [1, 0, 1, 1, 0, 1, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:26:21,528 [I] Response: [True, False, False, True, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:21,529 [I] End iteration. Save model.	(at main.py:70) 
2019-03-02 02:26:22,650 [I] Model saved. End program.	(at main.py:72) 
