2019-03-02 02:25:47,387 [I] Initial factor queue size: 10	(at doe_manager.py:29) 
2019-03-02 02:25:47,388 [I] Start iteration.	(at main.py:56) 
2019-03-02 02:25:47,388 [I] Iter idx: 0, Qsize: 9	(at main.py:59) 
2019-03-02 02:25:47,388 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:47,488 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 02:25:47,488 [I] Iter idx: 1, Qsize: 8	(at main.py:59) 
2019-03-02 02:25:47,489 [I] Curr factor: [0, 0, 0, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:47,588 [I] Response: [True, True, True, True, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:25:47,589 [I] Iter idx: 2, Qsize: 7	(at main.py:59) 
2019-03-02 02:25:47,589 [I] Curr factor: [0, 0, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:47,688 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 02:25:47,688 [I] Iter idx: 3, Qsize: 6	(at main.py:59) 
2019-03-02 02:25:47,688 [I] Curr factor: [0, 0, 0, 1, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:47,787 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 02:25:47,788 [I] Iter idx: 4, Qsize: 5	(at main.py:59) 
2019-03-02 02:25:47,788 [I] Curr factor: [0, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:47,887 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:25:47,887 [I] Iter idx: 5, Qsize: 4	(at main.py:59) 
2019-03-02 02:25:47,887 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:48,256 [I] Response: [True, True, False, True, True, False, False, True, True, False, False, True, False, False, False]	(at main.py:64) 
2019-03-02 02:25:48,257 [I] Iter idx: 6, Qsize: 3	(at main.py:59) 
2019-03-02 02:25:48,257 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:25:48,401 [I] Response: [True, True, True, True, True, True, False, True, False, True, True, True, True, False, True]	(at main.py:64) 
2019-03-02 02:25:48,402 [I] Iter idx: 7, Qsize: 2	(at main.py:59) 
2019-03-02 02:25:48,402 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:25:48,512 [I] Response: [True, True, True, True, True, True, True, False, True, True, True, False, True, True, True]	(at main.py:64) 
2019-03-02 02:25:48,512 [I] Iter idx: 8, Qsize: 1	(at main.py:59) 
2019-03-02 02:25:48,512 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:25:49,078 [I] Response: [True, False, True, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:25:49,079 [I] Iter idx: 9, Qsize: 0	(at main.py:59) 
2019-03-02 02:25:49,079 [I] Curr factor: [0, 0, 0, 0, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:25:49,908 [I] Response: [True, False, True, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:25:49,908 [I] End iteration. Save model.	(at main.py:70) 
2019-03-02 02:25:49,931 [I] Model saved. End program.	(at main.py:72) 
