2019-03-02 02:26:26,723 [I] Set default doe_random_threshold: 1 / (9:factor_size) = 0.1111111111111111	(at doe.py:20) 
2019-03-02 02:26:26,772 [I] Initial factor queue size: 100	(at doe_manager.py:29) 
2019-03-02 02:26:26,772 [I] Start iteration.	(at main.py:56) 
2019-03-02 02:26:26,772 [I] Iter idx: 0, Qsize: 99	(at main.py:59) 
2019-03-02 02:26:26,772 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:26,916 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 02:26:26,916 [I] Iter idx: 1, Qsize: 98	(at main.py:59) 
2019-03-02 02:26:26,917 [I] Curr factor: [0, 1, 0, 0, 0, 0, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:26:27,492 [I] Response: [True, False, True, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:27,493 [I] Iter idx: 2, Qsize: 97	(at main.py:59) 
2019-03-02 02:26:27,493 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:26:27,649 [I] Response: [True, True, True, True, True, True, True, False, True, True, True, False, True, True, True]	(at main.py:64) 
2019-03-02 02:26:27,650 [I] Iter idx: 3, Qsize: 96	(at main.py:59) 
2019-03-02 02:26:27,650 [I] Curr factor: [0, 0, 0, 0, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:28,557 [I] Response: [True, False, True, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:28,557 [I] Iter idx: 4, Qsize: 95	(at main.py:59) 
2019-03-02 02:26:28,557 [I] Curr factor: [0, 0, 1, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:26:28,724 [I] Response: [True, True, True, True, True, True, True, False, True, True, True, False, True, True, True]	(at main.py:64) 
2019-03-02 02:26:28,724 [I] Iter idx: 5, Qsize: 94	(at main.py:59) 
2019-03-02 02:26:28,724 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:29,171 [I] Response: [True, True, False, True, True, False, False, True, True, False, False, True, False, False, False]	(at main.py:64) 
2019-03-02 02:26:29,171 [I] Iter idx: 6, Qsize: 93	(at main.py:59) 
2019-03-02 02:26:29,172 [I] Curr factor: [0, 0, 0, 1, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:29,327 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 02:26:29,327 [I] Iter idx: 7, Qsize: 92	(at main.py:59) 
2019-03-02 02:26:29,328 [I] Curr factor: [0, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:29,615 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:29,616 [I] Iter idx: 8, Qsize: 91	(at main.py:59) 
2019-03-02 02:26:29,616 [I] Curr factor: [0, 0, 0, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:29,783 [I] Response: [True, True, True, True, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:29,783 [I] Iter idx: 9, Qsize: 90	(at main.py:59) 
2019-03-02 02:26:29,783 [I] Curr factor: [0, 0, 0, 1, 0, 0, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:26:30,496 [I] Response: [True, False, True, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:30,497 [I] Iter idx: 10, Qsize: 89	(at main.py:59) 
2019-03-02 02:26:30,497 [I] Curr factor: [1, 0, 0, 0, 0, 0, 1, 1, 0]	(at main.py:61) 
2019-03-02 02:26:31,584 [I] Response: [True, False, False, True, True, False, False, False, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:31,585 [I] Iter idx: 11, Qsize: 88	(at main.py:59) 
2019-03-02 02:26:31,585 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:26:31,680 [I] Response: [True, True, True, True, True, True, False, True, False, True, True, True, True, False, True]	(at main.py:64) 
2019-03-02 02:26:31,680 [I] Iter idx: 12, Qsize: 87	(at main.py:59) 
2019-03-02 02:26:31,680 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:26:32,284 [I] Response: [True, False, True, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:32,284 [I] Iter idx: 13, Qsize: 86	(at main.py:59) 
2019-03-02 02:26:32,284 [I] Curr factor: [0, 0, 0, 0, 0, 1, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:26:32,943 [I] Response: [True, False, True, True, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:32,943 [I] Iter idx: 14, Qsize: 85	(at main.py:59) 
2019-03-02 02:26:32,943 [I] Curr factor: [0, 0, 0, 0, 1, 0, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:26:33,727 [I] Response: [True, False, True, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:33,727 [I] Iter idx: 15, Qsize: 84	(at main.py:59) 
2019-03-02 02:26:33,727 [I] Curr factor: [0, 1, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:26:33,827 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:33,827 [I] Iter idx: 16, Qsize: 83	(at main.py:59) 
2019-03-02 02:26:33,827 [I] Curr factor: [0, 0, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:33,931 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 02:26:33,931 [I] Iter idx: 17, Qsize: 82	(at main.py:59) 
2019-03-02 02:26:33,931 [I] Curr factor: [0, 0, 0, 1, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:34,035 [I] Response: [True, True, True, True, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:34,036 [I] Iter idx: 18, Qsize: 81	(at main.py:59) 
2019-03-02 02:26:34,036 [I] Curr factor: [0, 0, 0, 0, 1, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:34,900 [I] Response: [True, False, True, True, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:34,901 [I] Iter idx: 19, Qsize: 80	(at main.py:59) 
2019-03-02 02:26:34,901 [I] Curr factor: [1, 0, 1, 0, 0, 0, 1, 0, 1]	(at main.py:61) 
2019-03-02 02:26:35,686 [I] Response: [True, False, False, True, True, False, False, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:35,686 [I] Iter idx: 20, Qsize: 79	(at main.py:59) 
2019-03-02 02:26:35,687 [I] Curr factor: [1, 0, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:36,049 [I] Response: [True, True, False, True, True, False, False, True, True, False, False, True, False, False, False]	(at main.py:64) 
2019-03-02 02:26:36,050 [I] Iter idx: 21, Qsize: 78	(at main.py:59) 
2019-03-02 02:26:36,050 [I] Curr factor: [0, 0, 1, 1, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:36,158 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 02:26:36,158 [I] Iter idx: 22, Qsize: 77	(at main.py:59) 
2019-03-02 02:26:36,158 [I] Curr factor: [1, 0, 0, 1, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:36,540 [I] Response: [True, True, False, True, True, False, False, True, True, False, False, True, False, False, False]	(at main.py:64) 
2019-03-02 02:26:36,540 [I] Iter idx: 23, Qsize: 76	(at main.py:59) 
2019-03-02 02:26:36,541 [I] Curr factor: [0, 0, 1, 0, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:37,387 [I] Response: [True, False, True, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:37,388 [I] Iter idx: 24, Qsize: 75	(at main.py:59) 
2019-03-02 02:26:37,388 [I] Curr factor: [0, 0, 1, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:26:37,489 [I] Response: [True, True, True, True, True, True, False, True, False, True, True, True, True, False, True]	(at main.py:64) 
2019-03-02 02:26:37,490 [I] Iter idx: 25, Qsize: 74	(at main.py:59) 
