2019-03-02 01:39:54,214 [I] Initial factor queue size: 185	(at doe_manager.py:29) 
2019-03-02 01:39:54,214 [I] Start iteration.	(at main.py:56) 
2019-03-02 01:39:54,215 [I] Iter idx: 0, Qsize: 184	(at main.py:59) 
2019-03-02 01:39:54,215 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:54,375 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:54,375 [I] Iter idx: 1, Qsize: 183	(at main.py:59) 
2019-03-02 01:39:54,375 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 01:39:54,549 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:54,550 [I] Iter idx: 2, Qsize: 182	(at main.py:59) 
2019-03-02 01:39:54,550 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:54,713 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:54,714 [I] Iter idx: 3, Qsize: 181	(at main.py:59) 
2019-03-02 01:39:54,714 [I] Curr factor: [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:54,877 [I] Response: [True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:39:54,878 [I] Iter idx: 4, Qsize: 180	(at main.py:59) 
2019-03-02 01:39:54,878 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:55,052 [I] Response: [True, True, False, True, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:55,053 [I] Iter idx: 5, Qsize: 179	(at main.py:59) 
2019-03-02 01:39:55,053 [I] Curr factor: [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:55,224 [I] Response: [True, True, True, False, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:39:55,224 [I] Iter idx: 6, Qsize: 178	(at main.py:59) 
2019-03-02 01:39:55,224 [I] Curr factor: [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:55,382 [I] Response: [True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:39:55,382 [I] Iter idx: 7, Qsize: 177	(at main.py:59) 
2019-03-02 01:39:55,382 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 01:39:55,549 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:39:55,549 [I] Iter idx: 8, Qsize: 176	(at main.py:59) 
2019-03-02 01:39:55,550 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:55,708 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:39:55,708 [I] Iter idx: 9, Qsize: 175	(at main.py:59) 
2019-03-02 01:39:55,708 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:55,876 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:55,877 [I] Iter idx: 10, Qsize: 174	(at main.py:59) 
2019-03-02 01:39:55,877 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:56,040 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:39:56,040 [I] Iter idx: 11, Qsize: 173	(at main.py:59) 
2019-03-02 01:39:56,040 [I] Curr factor: [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:56,205 [I] Response: [True, True, True, True, True, True, False, False, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:56,206 [I] Iter idx: 12, Qsize: 172	(at main.py:59) 
2019-03-02 01:39:56,206 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:56,357 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:39:56,357 [I] Iter idx: 13, Qsize: 171	(at main.py:59) 
2019-03-02 01:39:56,357 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:56,507 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:39:56,507 [I] Iter idx: 14, Qsize: 170	(at main.py:59) 
2019-03-02 01:39:56,507 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:56,669 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:39:56,670 [I] Iter idx: 15, Qsize: 169	(at main.py:59) 
2019-03-02 01:39:56,670 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:56,855 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:56,855 [I] Iter idx: 16, Qsize: 168	(at main.py:59) 
2019-03-02 01:39:56,855 [I] Curr factor: [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:57,065 [I] Response: [True, True, True, True, False, True, True, True, True, True, True, True, True, False, False, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:57,066 [I] Iter idx: 17, Qsize: 167	(at main.py:59) 
2019-03-02 01:39:57,066 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:57,348 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:57,348 [I] Iter idx: 18, Qsize: 166	(at main.py:59) 
2019-03-02 01:39:57,348 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:57,563 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:39:57,563 [I] Iter idx: 19, Qsize: 165	(at main.py:59) 
2019-03-02 01:39:57,564 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:39:57,792 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:39:57,792 [I] Iter idx: 20, Qsize: 164	(at main.py:59) 
