2019-03-02 01:40:29,835 [I] Initial factor queue size: 29	(at doe_manager.py:29) 
2019-03-02 01:40:29,835 [I] Start iteration.	(at main.py:56) 
2019-03-02 01:40:29,835 [I] Iter idx: 0, Qsize: 28	(at main.py:59) 
2019-03-02 01:40:29,835 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:30,071 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:30,071 [I] Iter idx: 1, Qsize: 27	(at main.py:59) 
2019-03-02 01:40:30,071 [I] Curr factor: [1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:40:30,252 [I] Response: [True, True, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:30,253 [I] Iter idx: 2, Qsize: 26	(at main.py:59) 
2019-03-02 01:40:30,253 [I] Curr factor: [1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]	(at main.py:61) 
2019-03-02 01:40:30,392 [I] Response: [True, True, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:30,392 [I] Iter idx: 3, Qsize: 25	(at main.py:59) 
2019-03-02 01:40:30,392 [I] Curr factor: [1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]	(at main.py:61) 
2019-03-02 01:40:30,541 [I] Response: [True, True, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:30,542 [I] Iter idx: 4, Qsize: 24	(at main.py:59) 
2019-03-02 01:40:30,542 [I] Curr factor: [0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]	(at main.py:61) 
