2019-03-02 01:39:49,230 [I] Initial factor queue size: 22	(at doe_manager.py:29) 
2019-03-02 01:39:49,231 [I] Start iteration.	(at main.py:56) 
2019-03-02 01:39:49,231 [I] Iter idx: 0, Qsize: 21	(at main.py:59) 
2019-03-02 01:39:49,231 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:49,555 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:49,556 [I] Iter idx: 1, Qsize: 20	(at main.py:59) 
2019-03-02 01:39:49,556 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:49,699 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:39:49,700 [I] Iter idx: 2, Qsize: 19	(at main.py:59) 
2019-03-02 01:39:49,700 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 01:39:49,855 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:39:49,855 [I] Iter idx: 3, Qsize: 18	(at main.py:59) 
2019-03-02 01:39:49,855 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:39:50,007 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:39:50,008 [I] Iter idx: 4, Qsize: 17	(at main.py:59) 
2019-03-02 01:39:50,008 [I] Curr factor: [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
