2019-03-02 01:40:36,359 [I] Set default doe_random_threshold: 1 / (21:factor_size) = 0.047619047619047616	(at doe.py:20) 
2019-03-02 01:40:36,395 [I] Initial factor queue size: 100	(at doe_manager.py:29) 
2019-03-02 01:40:36,396 [I] Start iteration.	(at main.py:56) 
2019-03-02 01:40:36,396 [I] Iter idx: 0, Qsize: 99	(at main.py:59) 
2019-03-02 01:40:36,396 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:36,549 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:36,549 [I] Iter idx: 1, Qsize: 98	(at main.py:59) 
2019-03-02 01:40:36,549 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:36,703 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:36,704 [I] Iter idx: 2, Qsize: 97	(at main.py:59) 
2019-03-02 01:40:36,704 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:36,863 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:36,863 [I] Iter idx: 3, Qsize: 96	(at main.py:59) 
2019-03-02 01:40:36,864 [I] Curr factor: [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:37,026 [I] Response: [True, True, True, True, True, True, False, False, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:37,027 [I] Iter idx: 4, Qsize: 95	(at main.py:59) 
2019-03-02 01:40:37,027 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:37,185 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:37,186 [I] Iter idx: 5, Qsize: 94	(at main.py:59) 
2019-03-02 01:40:37,186 [I] Curr factor: [0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:37,356 [I] Response: [True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:37,357 [I] Iter idx: 6, Qsize: 93	(at main.py:59) 
2019-03-02 01:40:37,357 [I] Curr factor: [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]	(at main.py:61) 
