2019-02-12 22:36:57,620 [D] -:F:n:WD_1:mbe.c:79	(at logger.py:129) 
2019-02-12 22:36:57,638 [D] ┌:F:n:WD_2:mbe.c:79	(at logger.py:129) 
2019-02-12 22:36:57,638 [D] └:F:n:WD_2:mbe.c:78	(at logger.py:129) 
2019-02-12 22:36:57,655 [D] ┌:F:n:WD_3:mbe.c:79	(at logger.py:129) 
2019-02-12 22:36:57,655 [D] |:F:n:WD_3:mbe.c:78	(at logger.py:129) 
2019-02-12 22:36:57,655 [D] └:F:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 22:36:57,702 [D] -:P:n:WD_1:mbe.c:78	(at logger.py:129) 
2019-02-12 22:36:57,717 [D] -:F:n:WD_1:mbe.c:77	(at logger.py:129) 
2019-02-12 22:36:57,732 [D] ┌:F:n:WD_2:mbe.c:77	(at logger.py:129) 
2019-02-12 22:36:57,732 [D] └:F:n:WD_2:mbe.c:76	(at logger.py:129) 
2019-02-12 22:36:57,748 [D] ┌:F:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 22:36:57,748 [D] |:F:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 22:36:57,748 [D] └:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 22:36:57,763 [D] -:F:n:WD_1:mbe.c:76	(at logger.py:129) 
2019-02-12 22:36:57,781 [D] ┌:F:n:WD_2:mbe.c:76	(at logger.py:129) 
2019-02-12 22:36:57,781 [D] └:F:n:WD_2:mbe.c:75	(at logger.py:129) 
2019-02-12 22:36:57,795 [D] ┌:F:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 22:36:57,795 [D] |:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 22:36:57,795 [D] └:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 22:36:57,829 [D] -:P:c:WD_1:mbe.c:75	(at logger.py:129) 
2019-02-12 22:36:57,845 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 22:36:57,859 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 22:36:57,859 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:36:57,873 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 22:36:57,873 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:36:57,873 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:36:58,911 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 22:36:58,928 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 22:36:58,928 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:36:58,945 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 22:36:58,945 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:36:58,945 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:36:58,963 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 22:36:58,981 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 22:36:58,981 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 22:36:59,002 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 22:36:59,002 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:36:59,002 [D] └:F:n:WD_3:mbe.c:70	(at logger.py:129) 
2019-02-12 22:36:59,022 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 22:36:59,038 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 22:36:59,038 [D] └:F:n:WD_2:mbe.c:70	(at logger.py:129) 
2019-02-12 22:36:59,053 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 22:36:59,054 [D] |:F:n:WD_3:mbe.c:70	(at logger.py:129) 
2019-02-12 22:36:59,054 [D] └:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:36:59,091 [D] -:P:c:WD_1:mbe.c:70	(at logger.py:129) 
2019-02-12 22:36:59,110 [D] -:F:n:WD_1:mbe.c:69	(at logger.py:129) 
2019-02-12 22:36:59,128 [D] ┌:F:n:WD_2:mbe.c:69	(at logger.py:129) 
2019-02-12 22:36:59,128 [D] └:F:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 22:36:59,146 [D] ┌:F:n:WD_3:mbe.c:69	(at logger.py:129) 
2019-02-12 22:36:59,146 [D] |:F:n:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:36:59,146 [D] └:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:36:59,208 [D] -:C:n:WD_1:mbe.c:68	(at logger.py:129) 
2019-02-12 22:36:59,259 [D] ┌:C:n:WD_2:mbe.c:68	(at logger.py:129) 
2019-02-12 22:36:59,259 [D] └:C:n:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 22:36:59,305 [D] ┌:C:c:WD_3:mbe.c:68	(at logger.py:129) 
2019-02-12 22:36:59,306 [D] |:C:c:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:36:59,306 [D] └:C:c:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 22:36:59,357 [D] -:C:n:WD_1:mbe.c:67	(at logger.py:129) 
2019-02-12 22:36:59,395 [D] ┌:C:c:WD_2:mbe.c:67	(at logger.py:129) 
2019-02-12 22:36:59,395 [D] └:C:c:WD_2:mbe.c:66	(at logger.py:129) 
2019-02-12 22:36:59,413 [D] ┌:F:n:WD_3:mbe.c:67	(at logger.py:129) 
2019-02-12 22:36:59,413 [D] |:F:n:WD_3:mbe.c:66	(at logger.py:129) 
2019-02-12 22:36:59,413 [D] └:F:n:WD_3:mbe.c:65	(at logger.py:129) 
2019-02-12 22:36:59,451 [D] -:P:c:WD_1:mbe.c:66	(at logger.py:129) 
2019-02-12 22:36:59,468 [D] -:F:n:WD_1:mbe.c:65	(at logger.py:129) 
2019-02-12 22:36:59,489 [D] ┌:F:n:WD_2:mbe.c:65	(at logger.py:129) 
2019-02-12 22:36:59,489 [D] └:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 22:36:59,507 [D] ┌:F:n:WD_3:mbe.c:65	(at logger.py:129) 
2019-02-12 22:36:59,507 [D] |:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 22:36:59,507 [D] └:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 22:36:59,528 [D] -:F:n:WD_1:mbe.c:64	(at logger.py:129) 
2019-02-12 22:36:59,545 [D] ┌:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 22:36:59,546 [D] └:F:n:WD_2:mbe.c:63	(at logger.py:129) 
2019-02-12 22:36:59,564 [D] ┌:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 22:36:59,564 [D] |:F:n:WD_3:mbe.c:63	(at logger.py:129) 
2019-02-12 22:36:59,564 [D] └:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 22:36:59,603 [D] -:P:c:WD_1:mbe.c:63	(at logger.py:129) 
2019-02-12 22:36:59,621 [D] -:F:n:WD_1:mbe.c:62	(at logger.py:129) 
2019-02-12 22:36:59,641 [D] ┌:F:n:WD_2:mbe.c:62	(at logger.py:129) 
2019-02-12 22:36:59,641 [D] └:F:n:WD_2:mbe.c:61	(at logger.py:129) 
2019-02-12 22:36:59,660 [D] ┌:F:n:WD_3:mbe.c:62	(at logger.py:129) 
2019-02-12 22:36:59,661 [D] |:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 22:36:59,661 [D] └:F:n:WD_3:mbe.c:60	(at logger.py:129) 
2019-02-12 22:37:00,709 [D] -:C:n:WD_1:mbe.c:61	(at logger.py:129) 
2019-02-12 22:37:00,727 [D] ┌:F:n:WD_2:mbe.c:61	(at logger.py:129) 
2019-02-12 22:37:00,727 [D] └:F:n:WD_2:mbe.c:60	(at logger.py:129) 
2019-02-12 22:37:00,745 [D] ┌:F:n:WD_3:mbe.c:61	(at logger.py:129) 
2019-02-12 22:37:00,745 [D] |:F:n:WD_3:mbe.c:60	(at logger.py:129) 
2019-02-12 22:37:00,745 [D] └:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 22:37:00,763 [D] -:F:n:WD_1:mbe.c:60	(at logger.py:129) 
2019-02-12 22:37:00,784 [D] ┌:F:n:WD_2:mbe.c:60	(at logger.py:129) 
2019-02-12 22:37:00,784 [D] └:F:n:WD_2:mbe.c:59	(at logger.py:129) 
2019-02-12 22:37:00,803 [D] ┌:F:n:WD_3:mbe.c:60	(at logger.py:129) 
2019-02-12 22:37:00,803 [D] |:F:n:WD_3:mbe.c:59	(at logger.py:129) 
2019-02-12 22:37:00,803 [D] └:F:n:WD_3:mbe.c:58	(at logger.py:129) 
2019-02-12 22:37:00,823 [D] -:F:n:WD_1:mbe.c:59	(at logger.py:129) 
2019-02-12 22:37:00,841 [D] ┌:F:n:WD_2:mbe.c:59	(at logger.py:129) 
2019-02-12 22:37:00,841 [D] └:F:n:WD_2:mbe.c:58	(at logger.py:129) 
