2019-02-12 21:27:36,558 [I] 	(at main.py:29) 
2019-02-12 21:27:36,558 [I] ===== START - RUN ==============================================	(at main.py:32) 
2019-02-12 21:27:36,558 [D] Title: RUN, Job key: RUN_2019-02-12_21:27:36	(at main.py:40) 
2019-02-12 21:27:36,558 [I] Load config file.	(at main.py:56) 
2019-02-12 21:27:36,558 [D] Loading config from ['/home/bohrok/Documents/DM/output/orbs/mbe/3/config/config.ini']	(at config.py:16) 
2019-02-12 21:27:36,575 [D] Load config successfully!	(at config.py:19) 
2019-02-12 21:27:36,575 [D] Initialize directory: .	(at workspace.py:10) 
2019-02-12 21:27:36,575 [I] Initialize workspace.	(at main.py:64) 
2019-02-12 21:27:36,576 [I] Working directory path: /home/bohrok/Documents/DM/output/orbs/mbe/3/work	(at workspace.py:41) 
2019-02-12 21:27:36,578 [D] Record the config on workspace.	(at workspace.py:62) 
2019-02-12 21:27:36,578 [I] No PRE stage.	(at main.py:73) 
2019-02-12 21:27:36,578 [I] Construct SliceSpace.	(at main.py:76) 
2019-02-12 21:27:36,578 [I] Compile the system.	(at slicespace.py:148) 
2019-02-12 21:27:36,630 [I] Execute the system.	(at slicespace.py:160) 
2019-02-12 21:27:36,642 [I] Compile the system again (sanity check).	(at slicespace.py:174) 
2019-02-12 21:27:36,690 [I] Execute the system again (sanity check).	(at slicespace.py:188) 
2019-02-12 21:27:36,703 [I] Construct deletion operators.	(at main.py:80) 
2019-02-12 21:27:36,704 [I] Run ORBS stage.	(at main.py:85) 
2019-02-12 21:27:36,704 [I] ORBS starts...	(at orbs.py:53) 
2019-02-12 21:27:36,727 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:36,727 [D] -:F:n:WD_1:mbe.c:79	(at logger.py:129) 
2019-02-12 21:27:36,745 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:36,745 [D] ┌:F:n:WD_2:mbe.c:79	(at logger.py:129) 
2019-02-12 21:27:36,745 [D] └:F:n:WD_2:mbe.c:78	(at logger.py:129) 
2019-02-12 21:27:36,768 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:36,769 [D] ┌:F:n:WD_3:mbe.c:79	(at logger.py:129) 
2019-02-12 21:27:36,769 [D] |:F:n:WD_3:mbe.c:78	(at logger.py:129) 
2019-02-12 21:27:36,769 [D] └:F:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 21:27:36,827 [D] -:P:n:WD_1:mbe.c:78	(at logger.py:129) 
2019-02-12 21:27:36,844 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:36,844 [D] -:F:n:WD_1:mbe.c:77	(at logger.py:129) 
2019-02-12 21:27:36,861 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:36,861 [D] ┌:F:n:WD_2:mbe.c:77	(at logger.py:129) 
2019-02-12 21:27:36,861 [D] └:F:n:WD_2:mbe.c:76	(at logger.py:129) 
2019-02-12 21:27:36,878 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:36,878 [D] ┌:F:n:WD_3:mbe.c:77	(at logger.py:129) 
2019-02-12 21:27:36,878 [D] |:F:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 21:27:36,878 [D] └:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 21:27:36,896 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:36,896 [D] -:F:n:WD_1:mbe.c:76	(at logger.py:129) 
2019-02-12 21:27:36,916 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:36,916 [D] ┌:F:n:WD_2:mbe.c:76	(at logger.py:129) 
2019-02-12 21:27:36,916 [D] └:F:n:WD_2:mbe.c:75	(at logger.py:129) 
2019-02-12 21:27:36,933 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:36,933 [D] ┌:F:n:WD_3:mbe.c:76	(at logger.py:129) 
2019-02-12 21:27:36,933 [D] |:F:n:WD_3:mbe.c:75	(at logger.py:129) 
2019-02-12 21:27:36,933 [D] └:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:27:36,972 [D] -:P:c:WD_1:mbe.c:75	(at logger.py:129) 
2019-02-12 21:27:36,992 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mbe/3/work'], stdout: b''	(at ex_script.py:45) 
2019-02-12 21:27:36,993 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
