2019-02-12 21:30:05,146 [D]  : : :pass:mbe.c:79	(at logger.py:129) 
2019-02-12 21:30:05,146 [D]  : : :pass:mbe.c:78	(at logger.py:129) 
2019-02-12 21:30:05,146 [D]  : : :pass:mbe.c:77	(at logger.py:129) 
2019-02-12 21:30:05,146 [D]  : : :pass:mbe.c:76	(at logger.py:129) 
2019-02-12 21:30:05,146 [D]  : : :pass:mbe.c:75	(at logger.py:129) 
2019-02-12 21:30:05,159 [D] -:F:n:WD_1:mbe.c:74	(at logger.py:129) 
2019-02-12 21:30:05,174 [D] ┌:F:n:WD_2:mbe.c:74	(at logger.py:129) 
2019-02-12 21:30:05,174 [D] └:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:30:05,190 [D] ┌:F:n:WD_3:mbe.c:74	(at logger.py:129) 
2019-02-12 21:30:05,190 [D] |:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:30:05,190 [D] └:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:30:05,233 [D] -:C:n:WD_1:mbe.c:73	(at logger.py:129) 
2019-02-12 21:30:05,251 [D] ┌:F:n:WD_2:mbe.c:73	(at logger.py:129) 
2019-02-12 21:30:05,251 [D] └:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:30:05,272 [D] ┌:F:n:WD_3:mbe.c:73	(at logger.py:129) 
2019-02-12 21:30:05,272 [D] |:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:30:05,272 [D] └:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:30:05,286 [D] -:F:n:WD_1:mbe.c:72	(at logger.py:129) 
2019-02-12 21:30:05,305 [D] ┌:F:n:WD_2:mbe.c:72	(at logger.py:129) 
2019-02-12 21:30:05,305 [D] └:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:30:05,341 [D] ┌:F:n:WD_3:mbe.c:72	(at logger.py:129) 
2019-02-12 21:30:05,341 [D] |:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:30:05,341 [D] └:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 21:30:05,354 [D] -:F:n:WD_1:mbe.c:71	(at logger.py:129) 
2019-02-12 21:30:05,368 [D] ┌:F:n:WD_2:mbe.c:71	(at logger.py:129) 
2019-02-12 21:30:05,368 [D] └:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 21:30:05,383 [D] ┌:F:n:WD_3:mbe.c:71	(at logger.py:129) 
2019-02-12 21:30:05,383 [D] |:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 21:30:05,383 [D] └:F:n:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 21:30:05,383 [D]  : : :pass:mbe.c:70	(at logger.py:129) 
2019-02-12 21:30:05,383 [D]  : : :pass:mbe.c:69	(at logger.py:129) 
2019-02-12 21:30:05,383 [D]  : : :pass:mbe.c:68	(at logger.py:129) 
2019-02-12 21:30:05,383 [D]  : : :pass:mbe.c:67	(at logger.py:129) 
2019-02-12 21:30:05,383 [D]  : : :pass:mbe.c:66	(at logger.py:129) 
2019-02-12 21:30:05,383 [D]  : : :pass:mbe.c:65	(at logger.py:129) 
2019-02-12 21:30:05,398 [D] -:F:n:WD_1:mbe.c:64	(at logger.py:129) 
2019-02-12 21:30:05,413 [D] ┌:F:n:WD_2:mbe.c:64	(at logger.py:129) 
2019-02-12 21:30:05,413 [D] └:F:n:WD_2:mbe.c:44	(at logger.py:129) 
2019-02-12 21:30:05,428 [D] ┌:F:n:WD_3:mbe.c:64	(at logger.py:129) 
2019-02-12 21:30:05,428 [D] |:F:n:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 21:30:05,428 [D] └:F:n:WD_3:mbe.c:43	(at logger.py:129) 
2019-02-12 21:30:05,428 [D]  : : :pass:mbe.c:63	(at logger.py:129) 
2019-02-12 21:30:05,428 [D]  : : :pass:mbe.c:62	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:61	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:60	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:59	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:58	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:57	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:56	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:55	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:54	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:53	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:52	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:51	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:50	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:49	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:48	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:47	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:46	(at logger.py:129) 
2019-02-12 21:30:05,429 [D]  : : :pass:mbe.c:45	(at logger.py:129) 
2019-02-12 21:30:05,443 [D] -:F:n:WD_1:mbe.c:44	(at logger.py:129) 
2019-02-12 21:30:05,456 [D] ┌:F:n:WD_2:mbe.c:44	(at logger.py:129) 
2019-02-12 21:30:05,456 [D] └:F:n:WD_2:mbe.c:43	(at logger.py:129) 
2019-02-12 21:30:05,470 [D] ┌:F:n:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 21:30:05,470 [D] |:F:n:WD_3:mbe.c:43	(at logger.py:129) 
2019-02-12 21:30:05,470 [D] └:F:n:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 21:30:05,509 [D] -:C:c:WD_1:mbe.c:43	(at logger.py:129) 
2019-02-12 21:30:05,526 [D] ┌:F:n:WD_2:mbe.c:43	(at logger.py:129) 
2019-02-12 21:30:05,526 [D] └:F:n:WD_2:mbe.c:42	(at logger.py:129) 
2019-02-12 21:30:05,539 [D] ┌:F:n:WD_3:mbe.c:43	(at logger.py:129) 
2019-02-12 21:30:05,539 [D] |:F:n:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 21:30:05,539 [D] └:F:n:WD_3:mbe.c:41	(at logger.py:129) 
2019-02-12 21:30:05,557 [D] -:F:n:WD_1:mbe.c:42	(at logger.py:129) 
2019-02-12 21:30:05,571 [D] ┌:F:n:WD_2:mbe.c:42	(at logger.py:129) 
2019-02-12 21:30:05,571 [D] └:F:n:WD_2:mbe.c:41	(at logger.py:129) 
2019-02-12 21:30:05,585 [D] ┌:F:n:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 21:30:05,585 [D] |:F:n:WD_3:mbe.c:41	(at logger.py:129) 
2019-02-12 21:30:05,585 [D] └:F:n:WD_3:mbe.c:40	(at logger.py:129) 
2019-02-12 21:30:05,622 [D] -:C:c:WD_1:mbe.c:41	(at logger.py:129) 
2019-02-12 21:30:05,638 [D] ┌:F:n:WD_2:mbe.c:41	(at logger.py:129) 
2019-02-12 21:30:05,638 [D] └:F:n:WD_2:mbe.c:40	(at logger.py:129) 
2019-02-12 21:30:05,652 [D] ┌:F:n:WD_3:mbe.c:41	(at logger.py:129) 
