2019-02-12 21:30:33,222 [I] 	(at main.py:29) 
2019-02-12 21:30:33,222 [I] ===== START - RUN ==============================================	(at main.py:32) 
2019-02-12 21:30:33,223 [I] Load config file.	(at main.py:56) 
2019-02-12 21:30:33,223 [I] Initialize workspace.	(at main.py:64) 
2019-02-12 21:30:33,224 [I] Working directory path: /home/bohrok/Documents/DM/output/orbs/mbe/9/work	(at workspace.py:41) 
2019-02-12 21:30:33,226 [I] No PRE stage.	(at main.py:73) 
2019-02-12 21:30:33,226 [I] Construct SliceSpace.	(at main.py:76) 
2019-02-12 21:30:33,226 [I] Compile the system.	(at slicespace.py:148) 
2019-02-12 21:30:33,273 [I] Execute the system.	(at slicespace.py:160) 
2019-02-12 21:30:33,288 [I] Compile the system again (sanity check).	(at slicespace.py:174) 
2019-02-12 21:30:33,346 [I] Execute the system again (sanity check).	(at slicespace.py:188) 
2019-02-12 21:30:33,358 [I] Construct deletion operators.	(at main.py:80) 
2019-02-12 21:30:33,359 [I] Run ORBS stage.	(at main.py:85) 
2019-02-12 21:30:33,359 [I] ORBS starts...	(at orbs.py:53) 
2019-02-12 21:30:47,546 [I] Iteration 1 finished	(at orbs.py:87) 
2019-02-12 21:30:51,732 [I] Iteration 2 finished	(at orbs.py:87) 
2019-02-12 21:30:52,735 [I] Iteration 3 finished	(at orbs.py:87) 
2019-02-12 21:30:52,736 [I] ORBS fin.	(at orbs.py:91) 
2019-02-12 21:30:52,736 [I] ===== END - RUN ==============================================	(at main.py:95) 
2019-02-12 21:30:52,736 [I] 	(at main.py:96) 
2019-02-12 22:30:55,818 [I] 	(at main.py:29) 
2019-02-12 22:30:55,832 [I] ===== START - RUN ==============================================	(at main.py:32) 
2019-02-12 22:30:55,832 [I] Load config file.	(at main.py:56) 
2019-02-12 22:30:55,844 [I] Initialize workspace.	(at main.py:64) 
2019-02-12 22:30:55,844 [W] Remove work_dir: /home/bohrok/Documents/DM/output/orbs/mbe/9/work	(at workspace.py:36) 
2019-02-12 22:30:55,844 [I] Working directory path: /home/bohrok/Documents/DM/output/orbs/mbe/9/work	(at workspace.py:41) 
2019-02-12 22:30:55,864 [I] No PRE stage.	(at main.py:73) 
2019-02-12 22:30:55,864 [I] Construct SliceSpace.	(at main.py:76) 
2019-02-12 22:30:55,865 [I] Compile the system.	(at slicespace.py:148) 
2019-02-12 22:30:55,951 [I] Execute the system.	(at slicespace.py:160) 
2019-02-12 22:30:55,963 [I] Compile the system again (sanity check).	(at slicespace.py:174) 
2019-02-12 22:30:56,000 [I] Execute the system again (sanity check).	(at slicespace.py:188) 
2019-02-12 22:30:56,010 [I] Construct deletion operators.	(at main.py:80) 
2019-02-12 22:30:56,010 [I] Run ORBS stage.	(at main.py:85) 
2019-02-12 22:30:56,011 [I] ORBS starts...	(at orbs.py:53) 
2019-02-12 22:31:09,223 [I] Iteration 1 finished	(at orbs.py:87) 
2019-02-12 22:31:12,975 [I] Iteration 2 finished	(at orbs.py:87) 
2019-02-12 22:31:13,844 [I] Iteration 3 finished	(at orbs.py:87) 
2019-02-12 22:31:13,845 [I] ORBS fin.	(at orbs.py:91) 
2019-02-12 22:31:13,845 [I] ===== END - RUN ==============================================	(at main.py:95) 
2019-02-12 22:31:13,845 [I] 	(at main.py:96) 
