2019-03-02 02:05:07,604 [D] -:F:n:WD_1:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:07,620 [D] ┌:F:n:WD_2:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:07,620 [D] └:F:n:WD_2:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:07,639 [D] ┌:F:n:WD_3:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:07,639 [D] |:F:n:WD_3:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:07,639 [D] └:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:07,683 [D] -:P:n:WD_1:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:07,699 [D] -:F:n:WD_1:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:07,714 [D] ┌:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:07,714 [D] └:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:07,749 [D] ┌:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:07,749 [D] |:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:07,749 [D] └:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:07,765 [D] -:F:n:WD_1:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:07,780 [D] ┌:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:07,780 [D] └:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:07,797 [D] ┌:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:07,797 [D] |:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:07,797 [D] └:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:07,812 [D] -:F:n:WD_1:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:07,827 [D] ┌:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:07,827 [D] └:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:07,843 [D] ┌:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:07,843 [D] |:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:07,843 [D] └:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:07,889 [D] -:C:n:WD_1:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:07,906 [D] ┌:F:n:WD_2:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:07,907 [D] └:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:07,923 [D] ┌:F:n:WD_3:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:07,923 [D] |:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:07,923 [D] └:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:07,939 [D] -:F:n:WD_1:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:07,958 [D] ┌:F:n:WD_2:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:07,958 [D] └:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:07,996 [D] ┌:F:n:WD_3:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:07,996 [D] |:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:07,996 [D] └:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:08,012 [D] -:F:n:WD_1:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:08,026 [D] ┌:F:n:WD_2:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:08,026 [D] └:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:08,041 [D] ┌:F:n:WD_3:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:08,041 [D] |:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:08,041 [D] └:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:08,058 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:08,075 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:08,075 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:08,091 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:08,091 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:08,091 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:08,339 [D] -:C:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:08,354 [D] ┌:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:08,355 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:08,370 [D] ┌:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:08,370 [D] |:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:08,370 [D] └:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:08,386 [D] -:F:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:08,401 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:08,401 [D] └:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:08,440 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:08,440 [D] |:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:08,440 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:08,456 [D] -:F:n:WD_1:mug.c:52	(at logger.py:129) 
