2019-03-02 02:05:31,671 [D]  : : :pass:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:31,671 [D]  : : :pass:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:31,671 [D]  : : :pass:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:31,671 [D]  : : :pass:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:31,671 [D]  : : :pass:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:31,671 [D]  : : :pass:mug.c:58	(at logger.py:129) 
2019-03-02 02:05:31,671 [D]  : : :pass:mug.c:57	(at logger.py:129) 
2019-03-02 02:05:31,671 [D]  : : :pass:mug.c:56	(at logger.py:129) 
2019-03-02 02:05:31,685 [D] -:F:n:WD_1:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:31,697 [D] ┌:F:n:WD_2:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:31,697 [D] └:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:31,707 [D] ┌:F:n:WD_3:mug.c:55	(at logger.py:129) 
2019-03-02 02:05:31,707 [D] |:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:31,708 [D] └:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:31,754 [D] -:C:n:WD_1:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:31,766 [D] ┌:F:n:WD_2:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:31,766 [D] └:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:31,777 [D] ┌:F:n:WD_3:mug.c:54	(at logger.py:129) 
2019-03-02 02:05:31,778 [D] |:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:31,778 [D] └:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:31,789 [D] -:F:n:WD_1:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:31,801 [D] ┌:F:n:WD_2:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:31,801 [D] └:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:31,835 [D] ┌:F:n:WD_3:mug.c:53	(at logger.py:129) 
2019-03-02 02:05:31,835 [D] |:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:31,835 [D] └:F:n:WD_3:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:31,847 [D] -:F:n:WD_1:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:31,857 [D] ┌:F:n:WD_2:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:31,857 [D] └:F:n:WD_2:mug.c:51	(at logger.py:129) 
2019-03-02 02:05:31,870 [D] ┌:F:n:WD_3:mug.c:52	(at logger.py:129) 
2019-03-02 02:05:31,870 [D] |:F:n:WD_3:mug.c:51	(at logger.py:129) 
