2019-03-02 02:05:33,256 [I] 	(at main.py:29) 
2019-03-02 02:05:33,256 [I] ===== START - RUN ==============================================	(at main.py:32) 
2019-03-02 02:05:33,256 [D] Title: RUN, Job key: RUN_2019-03-02_02:05:33	(at main.py:40) 
2019-03-02 02:05:33,256 [I] Load config file.	(at main.py:56) 
2019-03-02 02:05:33,257 [D] Loading config from ['/home/bohrok/Documents/DM/output/orbs/mug/9/config/config.ini']	(at config.py:16) 
2019-03-02 02:05:33,257 [D] Load config successfully!	(at config.py:19) 
2019-03-02 02:05:33,257 [D] Initialize directory: .	(at workspace.py:10) 
2019-03-02 02:05:33,257 [I] Initialize workspace.	(at main.py:64) 
2019-03-02 02:05:33,257 [I] Working directory path: /home/bohrok/Documents/DM/output/orbs/mug/9/work	(at workspace.py:41) 
2019-03-02 02:05:33,259 [D] Record the config on workspace.	(at workspace.py:62) 
2019-03-02 02:05:33,259 [I] No PRE stage.	(at main.py:73) 
2019-03-02 02:05:33,259 [I] Construct SliceSpace.	(at main.py:76) 
2019-03-02 02:05:33,260 [I] Compile the system.	(at slicespace.py:148) 
2019-03-02 02:05:33,295 [I] Execute the system.	(at slicespace.py:160) 
2019-03-02 02:05:33,342 [I] Compile the system again (sanity check).	(at slicespace.py:174) 
2019-03-02 02:05:33,388 [I] Execute the system again (sanity check).	(at slicespace.py:188) 
2019-03-02 02:05:33,398 [I] Construct deletion operators.	(at main.py:80) 
2019-03-02 02:05:33,398 [I] Run ORBS stage.	(at main.py:85) 
2019-03-02 02:05:33,398 [I] ORBS starts...	(at orbs.py:53) 
2019-03-02 02:05:33,415 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,415 [D] -:F:n:WD_1:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:33,430 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,430 [D] ┌:F:n:WD_2:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:33,430 [D] └:F:n:WD_2:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:33,447 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,447 [D] ┌:F:n:WD_3:mug.c:63	(at logger.py:129) 
2019-03-02 02:05:33,447 [D] |:F:n:WD_3:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:33,447 [D] └:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:33,496 [D] -:P:n:WD_1:mug.c:62	(at logger.py:129) 
2019-03-02 02:05:33,512 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,512 [D] -:F:n:WD_1:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:33,528 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,528 [D] ┌:F:n:WD_2:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:33,528 [D] └:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:33,566 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,567 [D] ┌:F:n:WD_3:mug.c:61	(at logger.py:129) 
2019-03-02 02:05:33,567 [D] |:F:n:WD_3:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:33,567 [D] └:F:n:WD_3:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:33,584 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,584 [D] -:F:n:WD_1:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:33,599 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,599 [D] ┌:F:n:WD_2:mug.c:60	(at logger.py:129) 
2019-03-02 02:05:33,599 [D] └:F:n:WD_2:mug.c:59	(at logger.py:129) 
2019-03-02 02:05:33,614 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/mug/9/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:05:33,614 [D] ┌:F:n:WD_3:mug.c:60	(at logger.py:129) 
