2019-03-02 02:05:33,256 [I] 	(at main.py:29) 
2019-03-02 02:05:33,256 [I] ===== START - RUN ==============================================	(at main.py:32) 
2019-03-02 02:05:33,256 [I] Load config file.	(at main.py:56) 
2019-03-02 02:05:33,257 [I] Initialize workspace.	(at main.py:64) 
2019-03-02 02:05:33,257 [I] Working directory path: /home/bohrok/Documents/DM/output/orbs/mug/9/work	(at workspace.py:41) 
2019-03-02 02:05:33,259 [I] No PRE stage.	(at main.py:73) 
2019-03-02 02:05:33,259 [I] Construct SliceSpace.	(at main.py:76) 
2019-03-02 02:05:33,260 [I] Compile the system.	(at slicespace.py:148) 
2019-03-02 02:05:33,295 [I] Execute the system.	(at slicespace.py:160) 
2019-03-02 02:05:33,342 [I] Compile the system again (sanity check).	(at slicespace.py:174) 
2019-03-02 02:05:33,388 [I] Execute the system again (sanity check).	(at slicespace.py:188) 
2019-03-02 02:05:33,398 [I] Construct deletion operators.	(at main.py:80) 
2019-03-02 02:05:33,398 [I] Run ORBS stage.	(at main.py:85) 
2019-03-02 02:05:33,398 [I] ORBS starts...	(at orbs.py:53) 
2019-03-02 02:05:38,008 [I] Iteration 1 finished	(at orbs.py:87) 
2019-03-02 02:05:40,499 [I] Iteration 2 finished	(at orbs.py:87) 
2019-03-02 02:05:41,368 [I] Iteration 3 finished	(at orbs.py:87) 
2019-03-02 02:05:41,370 [I] ORBS fin.	(at orbs.py:91) 
2019-03-02 02:05:41,370 [I] ===== END - RUN ==============================================	(at main.py:95) 
2019-03-02 02:05:41,370 [I] 	(at main.py:96) 
