2019-03-02 02:02:45,330 [I] 	(at main.py:29) 
2019-03-02 02:02:45,330 [I] ===== START - RUN ==============================================	(at main.py:32) 
2019-03-02 02:02:45,330 [D] Title: RUN, Job key: RUN_2019-03-02_02:02:45	(at main.py:40) 
2019-03-02 02:02:45,330 [I] Load config file.	(at main.py:56) 
2019-03-02 02:02:45,330 [D] Loading config from ['/home/bohrok/Documents/DM/output/orbs/wc/13/config/config.ini']	(at config.py:16) 
2019-03-02 02:02:45,331 [D] Load config successfully!	(at config.py:19) 
2019-03-02 02:02:45,331 [D] Initialize directory: .	(at workspace.py:10) 
2019-03-02 02:02:45,331 [I] Initialize workspace.	(at main.py:64) 
2019-03-02 02:02:45,331 [I] Working directory path: /home/bohrok/Documents/DM/output/orbs/wc/13/work	(at workspace.py:41) 
2019-03-02 02:02:45,334 [D] Record the config on workspace.	(at workspace.py:62) 
2019-03-02 02:02:45,334 [I] No PRE stage.	(at main.py:73) 
2019-03-02 02:02:45,334 [I] Construct SliceSpace.	(at main.py:76) 
2019-03-02 02:02:45,335 [I] Compile the system.	(at slicespace.py:148) 
2019-03-02 02:02:45,367 [I] Execute the system.	(at slicespace.py:160) 
2019-03-02 02:02:45,379 [I] Compile the system again (sanity check).	(at slicespace.py:174) 
2019-03-02 02:02:45,412 [I] Execute the system again (sanity check).	(at slicespace.py:188) 
2019-03-02 02:02:45,427 [I] Construct deletion operators.	(at main.py:80) 
2019-03-02 02:02:45,427 [I] Run ORBS stage.	(at main.py:85) 
2019-03-02 02:02:45,428 [I] ORBS starts...	(at orbs.py:53) 
2019-03-02 02:02:45,442 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:45,442 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:45,457 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:45,457 [D] ┌:F:n:WD_2:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:45,457 [D] └:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:45,471 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:45,471 [D] ┌:F:n:WD_3:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:45,471 [D] |:F:n:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:45,471 [D] └:F:n:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:45,486 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:45,486 [D] -:F:n:WD_1:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:45,500 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:45,501 [D] ┌:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:45,501 [D] └:F:n:WD_2:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:45,513 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:45,513 [D] ┌:F:n:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:45,514 [D] |:F:n:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:45,514 [D] └:F:n:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:45,564 [D] -:C:n:WD_1:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:45,579 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:45,579 [D] ┌:F:n:WD_2:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:45,579 [D] └:F:n:WD_2:wc.c:45	(at logger.py:129) 
