2019-03-02 02:02:55,389 [D] -:F:n:WD_1:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:55,401 [D] ┌:F:n:WD_2:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:55,401 [D] └:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:55,412 [D] ┌:F:n:WD_3:wc.c:48	(at logger.py:129) 
2019-03-02 02:02:55,412 [D] |:F:n:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:55,412 [D] └:F:n:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:55,423 [D] -:F:n:WD_1:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:55,434 [D] ┌:F:n:WD_2:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:55,434 [D] └:F:n:WD_2:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:55,480 [D] ┌:C:n:WD_3:wc.c:47	(at logger.py:129) 
2019-03-02 02:02:55,480 [D] |:C:n:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:55,480 [D] └:C:n:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:55,512 [D] -:C:c:WD_1:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:55,522 [D] ┌:F:n:WD_2:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:55,522 [D] └:F:n:WD_2:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:55,522 [D] ┌:C:c:WD_3:wc.c:46	(at logger.py:129) 
2019-03-02 02:02:55,522 [D] |:C:c:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:55,522 [D] └:C:c:WD_3:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:55,535 [D] -:F:n:WD_1:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:55,566 [D] ┌:C:c:WD_2:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:55,566 [D] └:C:c:WD_2:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:55,610 [D] ┌:C:n:WD_3:wc.c:45	(at logger.py:129) 
2019-03-02 02:02:55,610 [D] |:C:n:WD_3:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:55,610 [D] └:C:n:WD_3:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:55,610 [D]  : : :pass:wc.c:44	(at logger.py:129) 
2019-03-02 02:02:55,621 [D] -:F:n:WD_1:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:55,633 [D] ┌:F:n:WD_2:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:55,633 [D] └:F:n:WD_2:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:55,633 [D] ┌:C:c:WD_3:wc.c:43	(at logger.py:129) 
2019-03-02 02:02:55,633 [D] |:C:c:WD_3:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:55,633 [D] └:C:c:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:55,678 [D] -:C:n:WD_1:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:55,688 [D] ┌:F:n:WD_2:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:55,688 [D] └:F:n:WD_2:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:55,700 [D] ┌:F:n:WD_3:wc.c:42	(at logger.py:129) 
2019-03-02 02:02:55,701 [D] |:F:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:55,701 [D] └:F:n:WD_3:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:55,713 [D] -:F:n:WD_1:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:55,723 [D] ┌:F:n:WD_2:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:55,723 [D] └:F:n:WD_2:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:55,735 [D] ┌:F:n:WD_3:wc.c:41	(at logger.py:129) 
2019-03-02 02:02:55,735 [D] |:F:n:WD_3:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:55,736 [D] └:F:n:WD_3:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:55,748 [D] -:F:n:WD_1:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:55,790 [D] ┌:C:n:WD_2:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:55,791 [D] └:C:n:WD_2:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:55,802 [D] ┌:F:n:WD_3:wc.c:40	(at logger.py:129) 
2019-03-02 02:02:55,802 [D] |:F:n:WD_3:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:55,802 [D] └:F:n:WD_3:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:55,815 [D] -:F:n:WD_1:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:55,827 [D] ┌:F:n:WD_2:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:55,827 [D] └:F:n:WD_2:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:55,837 [D] ┌:F:n:WD_3:wc.c:39	(at logger.py:129) 
2019-03-02 02:02:55,837 [D] |:F:n:WD_3:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:55,838 [D] └:F:n:WD_3:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:55,838 [D]  : : :pass:wc.c:38	(at logger.py:129) 
2019-03-02 02:02:55,851 [D] -:F:n:WD_1:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:55,863 [D] ┌:F:n:WD_2:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:55,863 [D] └:F:n:WD_2:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:55,899 [D] ┌:F:n:WD_3:wc.c:37	(at logger.py:129) 
2019-03-02 02:02:55,899 [D] |:F:n:WD_3:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:55,899 [D] └:F:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:55,910 [D] -:F:n:WD_1:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:55,921 [D] ┌:F:n:WD_2:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:55,921 [D] └:F:n:WD_2:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:55,933 [D] ┌:F:n:WD_3:wc.c:36	(at logger.py:129) 
2019-03-02 02:02:55,933 [D] |:F:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:55,933 [D] └:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:55,945 [D] -:F:n:WD_1:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:55,955 [D] ┌:F:n:WD_2:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:55,955 [D] └:F:n:WD_2:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:55,970 [D] ┌:F:n:WD_3:wc.c:35	(at logger.py:129) 
2019-03-02 02:02:55,970 [D] |:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:55,970 [D] └:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:55,982 [D] -:F:n:WD_1:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:55,994 [D] ┌:F:n:WD_2:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:55,995 [D] └:F:n:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:56,006 [D] ┌:F:n:WD_3:wc.c:34	(at logger.py:129) 
2019-03-02 02:02:56,006 [D] |:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:56,006 [D] └:F:n:WD_3:wc.c:32	(at logger.py:129) 
2019-03-02 02:02:56,019 [D] -:F:n:WD_1:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:56,031 [D] ┌:F:n:WD_2:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:56,031 [D] └:F:n:WD_2:wc.c:32	(at logger.py:129) 
2019-03-02 02:02:56,044 [D] ┌:F:n:WD_3:wc.c:33	(at logger.py:129) 
2019-03-02 02:02:56,044 [D] |:F:n:WD_3:wc.c:32	(at logger.py:129) 
2019-03-02 02:02:56,044 [D] └:F:n:WD_3:wc.c:31	(at logger.py:129) 
