2019-03-02 02:03:04,809 [I] 	(at main.py:29) 
2019-03-02 02:03:04,809 [I] ===== START - RUN ==============================================	(at main.py:32) 
2019-03-02 02:03:04,809 [I] Load config file.	(at main.py:56) 
2019-03-02 02:03:04,810 [I] Initialize workspace.	(at main.py:64) 
2019-03-02 02:03:04,810 [I] Working directory path: /home/bohrok/Documents/DM/output/orbs/wc/16/work	(at workspace.py:41) 
2019-03-02 02:03:04,811 [I] No PRE stage.	(at main.py:73) 
2019-03-02 02:03:04,811 [I] Construct SliceSpace.	(at main.py:76) 
2019-03-02 02:03:04,811 [I] Compile the system.	(at slicespace.py:148) 
2019-03-02 02:03:04,845 [I] Execute the system.	(at slicespace.py:160) 
2019-03-02 02:03:04,860 [I] Compile the system again (sanity check).	(at slicespace.py:174) 
2019-03-02 02:03:04,892 [I] Execute the system again (sanity check).	(at slicespace.py:188) 
2019-03-02 02:03:04,904 [I] Construct deletion operators.	(at main.py:80) 
2019-03-02 02:03:04,905 [I] Run ORBS stage.	(at main.py:85) 
2019-03-02 02:03:04,905 [I] ORBS starts...	(at orbs.py:53) 
2019-03-02 02:03:07,080 [I] Iteration 1 finished	(at orbs.py:87) 
2019-03-02 02:03:07,844 [I] Iteration 2 finished	(at orbs.py:87) 
2019-03-02 02:03:08,225 [I] Iteration 3 finished	(at orbs.py:87) 
2019-03-02 02:03:08,226 [I] ORBS fin.	(at orbs.py:91) 
2019-03-02 02:03:08,226 [I] ===== END - RUN ==============================================	(at main.py:95) 
2019-03-02 02:03:08,226 [I] 	(at main.py:96) 
